Time,Number,S_Lat,S_Long,Bandwidth,CodingRate,Frequency,SpreadingFactor,TxPower,PacketRSSI,RSSI,SNR,R_Lat,R_Long
12:22:38.871 -> 04:21:46,0,-31.977274,115.816170,250000,5,915000000,7,10,-90,-130,10.00,-31.977712,115.816478
12:22:40.403 -> 04:22:43,1,-31.977251,115.816177,250000,5,915000000,7,12,-90,-112,10.50,-31.977718,115.816491
12:22:41.940 -> 04:22:44,2,-31.977247,115.816177,250000,5,915000000,7,12,-90,-130,10.25,-31.977707,115.816485
12:22:43.469 -> 04:22:46,3,-31.977243,115.816177,250000,5,915000000,7,12,-88,-131,10.25,-31.977713,115.816485
12:22:45.023 -> 04:22:48,4,-31.977234,115.816185,250000,5,915000000,7,12,-88,-130,10.25,-31.977701,115.816479
12:22:46.536 -> 04:22:49,5,-31.977232,115.816185,250000,5,915000000,7,12,-86,-132,10.25,-31.977704,115.816475
12:22:48.084 -> 04:22:50,6,-31.977226,115.816193,250000,5,915000000,7,12,-88,-130,10.25,-31.977714,115.816490
12:22:49.586 -> 04:22:52,7,-31.977219,115.816200,250000,5,915000000,7,12,-88,-111,10.00,-31.977718,115.816488
12:22:51.128 -> 04:22:54,8,-31.977217,115.816200,250000,5,915000000,7,12,-101,-107,7.50,-31.977710,115.816476
12:22:52.672 -> 04:22:55,9,-31.977213,115.816200,250000,5,915000000,7,12,-98,-112,8.00,-31.977716,115.816486
12:22:54.186 -> 04:22:57,10,-31.977213,115.816200,250000,5,915000000,7,12,-94,-130,9.00,-31.977705,115.816490
12:22:55.715 -> 04:22:58,11,-31.977205,115.816208,250000,5,915000000,7,12,-93,-111,9.25,-31.977715,115.816483
12:22:57.252 -> 04:23:00,12,-31.977205,115.816208,250000,5,915000000,7,12,-93,-130,9.50,-31.977713,115.816491
12:22:58.778 -> 04:23:01,13,-31.977205,115.816208,250000,5,915000000,7,12,-93,-130,9.25,-31.977718,115.816479
12:23:00.323 -> 04:23:03,14,-31.977205,115.816208,250000,5,915000000,7,12,-92,-131,9.25,-31.977701,115.816474
12:23:01.860 -> 04:23:04,15,-31.977201,115.816208,250000,5,915000000,7,12,-89,-130,13.00,-31.977714,115.816489
12:23:03.380 -> 04:23:06,16,-31.977201,115.816208,250000,5,915000000,7,12,-88,-130,9.75,-31.977720,115.816490
12:23:04.921 -> 04:23:07,17,-31.977203,115.816208,250000,5,915000000,7,12,-89,-130,10.00,-31.977704,115.816487
12:23:06.435 -> 04:23:09,18,-31.977203,115.816208,250000,5,915000000,7,12,-87,-130,10.00,-31.977707,115.816485
12:23:07.962 -> 04:23:10,19,-31.977201,115.816208,250000,5,915000000,7,12,-94,-130,9.25,-31.977716,115.816491
12:23:09.511 -> 04:23:12,20,-31.977201,115.816208,250000,5,915000000,7,12,-97,-130,8.75,-31.977714,115.816492
12:23:11.014 -> 04:23:14,21,-31.977200,115.816208,250000,5,915000000,7,12,-99,-130,6.50,-31.977717,115.816483
12:23:12.569 -> 04:23:15,22,-31.977200,115.816208,250000,5,915000000,7,12,-98,-130,8.25,-31.977709,115.816476
12:23:14.080 -> 04:23:17,23,-31.977198,115.816208,250000,5,915000000,7,12,-95,-112,8.50,-31.977710,115.816485
12:23:15.623 -> 04:23:18,24,-31.977196,115.816208,250000,5,915000000,7,12,-97,-130,7.75,-31.977704,115.816482
12:23:17.156 -> 04:23:20,25,-31.977196,115.816208,250000,5,915000000,7,12,-97,-130,8.25,-31.977705,115.816484
