Time,Number,S_Lat,S_Long,Bandwidth,CodingRate,Frequency,SpreadingFactor,TxPower,PacketRSSI,RSSI,SNR,R_Lat,R_Long
12:13:37.493 -> 04:13:40,0,-31.977428,115.816299,250000,5,915000000,7,10,-69,-130,10.25,-31.977719,115.816493
12:13:39.045 -> 04:13:42,1,-31.977440,115.816292,250000,5,915000000,7,12,-68,-99,10.00,-31.977702,115.816492
12:13:40.539 -> 04:13:43,2,-31.977438,115.816292,250000,5,915000000,7,12,-65,-131,10.50,-31.977718,115.816480
12:13:42.076 -> 04:13:44,3,-31.977442,115.816292,250000,5,915000000,7,12,-69,-130,10.50,-31.977720,115.816491
12:13:43.635 -> 04:13:46,4,-31.977449,115.816292,250000,5,915000000,7,12,-66,-130,10.25,-31.977706,115.816491
12:13:45.160 -> 04:13:48,5,-31.977449,115.816292,250000,5,915000000,7,12,-64,-130,10.50,-31.977708,115.816480
12:13:46.677 -> 04:13:49,6,-31.977442,115.816299,250000,5,915000000,7,12,-65,-130,10.50,-31.977707,115.816477
12:13:48.208 -> 04:13:51,7,-31.977442,115.816299,250000,5,915000000,7,12,-67,-96,10.25,-31.977717,115.816484
12:13:49.740 -> 04:13:52,8,-31.977444,115.816292,250000,5,915000000,7,12,-66,-130,10.75,-31.977710,115.816492
12:13:51.285 -> 04:13:54,9,-31.977444,115.816292,250000,5,915000000,7,12,-67,-130,10.50,-31.977707,115.816493
12:13:52.798 -> 04:13:55,10,-31.977436,115.816299,250000,5,915000000,7,12,-67,-130,10.00,-31.977707,115.816482
12:13:54.344 -> 04:13:57,11,-31.977436,115.816299,250000,5,915000000,7,12,-66,-130,10.00,-31.977708,115.816485
12:13:55.849 -> 04:13:58,12,-31.977434,115.816299,250000,5,915000000,7,12,-66,-96,10.00,-31.977702,115.816491
12:13:57.375 -> 04:14:00,13,-31.977430,115.816299,250000,5,915000000,7,12,-67,-130,10.25,-31.977714,115.816486
12:13:58.934 -> 04:14:01,14,-31.977430,115.816299,250000,5,915000000,7,12,-66,-131,10.00,-31.977702,115.816485
12:14:00.440 -> 04:14:03,15,-31.977428,115.816299,250000,5,915000000,7,12,-66,-130,10.00,-31.977701,115.816479
12:14:01.973 -> 04:14:04,16,-31.977415,115.816299,250000,5,915000000,7,12,-67,-130,9.50,-31.977712,115.816488
12:14:03.503 -> 04:14:06,17,-31.977415,115.816299,250000,5,915000000,7,12,-64,-130,9.75,-31.977714,115.816479
12:14:05.056 -> 04:14:08,18,-31.977417,115.816299,250000,5,915000000,7,12,-65,-130,9.75,-31.977701,115.816475
12:14:06.562 -> 04:14:09,19,-31.977417,115.816299,250000,5,915000000,7,12,-65,-130,10.25,-31.977715,115.816479
12:14:08.106 -> 04:14:11,20,-31.977413,115.816299,250000,5,915000000,7,12,-65,-96,9.75,-31.977711,115.816476
12:14:09.643 -> 04:14:12,21,-31.977415,115.816299,250000,5,915000000,7,12,-66,-130,10.00,-31.977703,115.816492
12:14:11.166 -> 04:14:14,22,-31.977415,115.816299,250000,5,915000000,7,12,-67,-130,10.00,-31.977707,115.816487
12:14:12.716 -> 04:14:15,23,-31.977419,115.816299,250000,5,915000000,7,12,-67,-131,10.00,-31.977705,115.816480
12:14:14.234 -> 04:14:17,24,-31.977419,115.816299,250000,5,915000000,7,12,-66,-130,9.50,-31.977714,115.816488
12:14:15.764 -> 04:14:18,25,-31.977425,115.816299,250000,5,915000000,7,12,-66,-96,9.75,-31.977711,115.816478
12:14:17.315 -> 04:14:20,26,-31.977425,115.816299,250000,5,915000000,7,12,-67,-130,10.00,-31.977703,115.816479
12:14:18.825 -> 04:14:21,27,-31.977419,115.816299,250000,5,915000000,7,12,-66,-96,10.00,-31.977711,115.816493
12:14:20.346 -> 04:14:23,28,-31.977421,115.816299,250000,5,915000000,7,12,-66,-131,10.00,-31.977715,115.816488
12:14:21.877 -> 04:14:24,29,-31.977427,115.816299,250000,5,915000000,7,12,-66,-130,10.00,-31.977702,115.816482
12:14:23.433 -> 04:14:26,30,-31.977425,115.816299,250000,5,915000000,7,12,-65,-130,10.00,-31.977702,115.816485
12:14:24.946 -> 04:14:27,31,-31.977430,115.816299,250000,5,915000000,7,12,-66,-130,10.00,-31.977705,115.816483
12:14:26.488 -> 04:14:29,32,-31.977428,115.816299,250000,5,915000000,7,12,-67,-130,9.75,-31.977717,115.816490
12:14:28.005 -> 04:14:31,33,-31.977430,115.816299,250000,5,915000000,7,12,-66,-130,10.50,-31.977716,115.816483
12:14:29.543 -> 04:14:32,34,-31.977428,115.816299,250000,5,915000000,7,12,-65,-131,10.00,-31.977713,115.816477
12:14:31.081 -> 04:14:34,35,-31.977425,115.816307,250000,5,915000000,7,12,-66,-130,10.25,-31.977712,115.816480
12:14:32.591 -> 04:14:35,36,-31.977428,115.816307,250000,5,915000000,7,12,-64,-130,10.00,-31.977709,115.816482
12:14:34.127 -> 04:14:37,37,-31.977428,115.816307,250000,5,915000000,7,12,-66,-130,12.00,-31.977701,115.816494
12:14:35.675 -> 04:14:38,38,-31.977425,115.816307,250000,5,915000000,7,12,-66,-130,10.50,-31.977702,115.816475
12:14:37.224 -> 04:14:40,39,-31.977425,115.816307,250000,5,915000000,7,12,-66,-130,10.25,-31.977709,115.816492
12:14:38.714 -> 04:14:41,40,-31.977430,115.816307,250000,5,915000000,7,12,-66,-98,10.75,-31.977706,115.816481
12:14:40.260 -> 04:14:43,41,-31.977430,115.816307,250000,5,915000000,7,12,-66,-130,10.25,-31.977718,115.816491
12:14:41.781 -> 04:14:44,42,-31.977428,115.816307,250000,5,915000000,7,12,-66,-130,10.25,-31.977716,115.816479
12:14:43.333 -> 04:14:46,43,-31.977428,115.816307,250000,5,915000000,7,12,-66,-130,12.00,-31.977719,115.816479
12:14:44.859 -> 04:14:47,44,-31.977432,115.816307,250000,5,915000000,7,12,-69,-130,10.00,-31.977704,115.816474
12:14:46.368 -> 04:14:49,45,-31.977436,115.816307,250000,5,915000000,7,12,-68,-131,9.25,-31.977711,115.816490
12:14:47.931 -> 04:14:50,46,-31.977438,115.816299,250000,5,915000000,7,12,-69,-130,9.25,-31.977714,115.816488
12:14:49.456 -> 04:14:52,47,-31.977442,115.816299,250000,5,915000000,7,12,-68,-130,9.75,-31.977709,115.816485
12:14:50.975 -> 04:14:53,48,-31.977451,115.816299,250000,5,915000000,7,12,-69,-130,9.75,-31.977710,115.816479
12:14:52.493 -> 04:14:55,49,-31.977457,115.816292,250000,5,915000000,7,12,-69,-131,10.00,-31.977714,115.816485
